KXBTC15M-26JAN052030-30: YES @ 57% | Edge:  18.00% | Result: YES ✅ WIN
KXETH15M-26JAN052115-15: NO @ 43% | Edge:  27.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 46% | Edge:  24.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 41% | Edge:  29.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 20% | Edge:  50.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 10% | Edge:  60.00% | Result: NO ✅ WIN

KXETH15M-26JAN052115-15: NO @ 53% | Edge:  17.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052130-30: NO @ 1% | Edge:  69.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052130-30: NO @ 3% | Edge:  67.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052130-30: NO @ 3% | Edge:  67.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052130-30: NO @ 3% | Edge:  67.00% | Result: NO ✅ WIN

KXETH15M-26JAN052130-30: NO @ 43% | Edge:  27.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 40% | Edge:  30.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 40% | Edge:  30.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 33% | Edge:  37.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 33% | Edge:  37.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 30% | Edge:  40.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 30% | Edge:  40.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 22% | Edge:  48.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 34% | Edge:  36.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 34% | Edge:  36.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 44% | Edge:  26.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 45% | Edge:  25.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 45% | Edge:  25.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 52% | Edge:  18.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 34% | Edge:  36.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 38% | Edge:  32.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 32% | Edge:  38.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 21% | Edge:  49.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 37% | Edge:  33.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 25% | Edge:  45.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 22% | Edge:  48.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: NO @ 12% | Edge:  58.00% | Result: YES ❌ LOSS

KXBTC15M-26JAN052130-30: NO @ 54% | Edge:  16.00% | Result: NO ✅ WIN

KXETH15M-26JAN052130-30: NO @ 31% | Edge:  39.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052130-30: YES @ 55% | Edge:  20.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 42% | Edge:  33.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 59% | Edge:  16.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 56% | Edge:  19.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 58% | Edge:  17.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 58% | Edge:  17.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 56% | Edge:  19.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 54% | Edge:  21.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 61% | Edge:  14.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 52% | Edge:  23.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052130-30: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052145-45: YES @ 44% | Edge:  31.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052145-45: YES @ 22% | Edge:  53.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052145-45: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052145-45: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052200-00: NO @ 24% | Edge:  46.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052200-00: NO @ 32% | Edge:  38.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052200-00: NO @ 34% | Edge:  36.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052200-00: NO @ 31% | Edge:  39.00% | Result: YES ❌ LOSS

KXBTC15M-26JAN052200-00: NO @ 54% | Edge:  16.00% | Result: YES ❌ LOSS

KXBTC15M-26JAN052200-00: NO @ 42% | Edge:  28.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052200-00: YES @ 47% | Edge:  28.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 47% | Edge:  28.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 47% | Edge:  28.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 40% | Edge:  35.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 37% | Edge:  38.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 43% | Edge:  32.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 41% | Edge:  34.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 43% | Edge:  32.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 49% | Edge:  26.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 33% | Edge:  42.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 32% | Edge:  43.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 19% | Edge:  56.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 20% | Edge:  55.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 25% | Edge:  50.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 29% | Edge:  46.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 27% | Edge:  48.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 32% | Edge:  43.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 33% | Edge:  42.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 36% | Edge:  39.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 42% | Edge:  33.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 40% | Edge:  35.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 38% | Edge:  37.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 40% | Edge:  35.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 59% | Edge:  16.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 49% | Edge:  26.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 57% | Edge:  18.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 57% | Edge:  18.00% | Result: YES ✅ WIN

KXETH15M-26JAN052200-00: YES @ 54% | Edge:  21.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052215-15: YES @ 39% | Edge:  36.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052215-15: YES @ 44% | Edge:  31.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052215-15: YES @ 40% | Edge:  35.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052215-15: YES @ 43% | Edge:  32.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052215-15: YES @ 49% | Edge:  26.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052215-15: YES @ 55% | Edge:  20.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052215-15: YES @ 60% | Edge:  15.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052215-15: YES @ 62% | Edge:  13.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 30% | Edge:  45.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 40% | Edge:  35.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 39% | Edge:  36.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 50% | Edge:  25.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 57% | Edge:  18.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 50% | Edge:  25.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 43% | Edge:  32.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 44% | Edge:  31.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 43% | Edge:  32.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 53% | Edge:  22.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 58% | Edge:  17.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 42% | Edge:  33.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 43% | Edge:  32.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 53% | Edge:  22.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 53% | Edge:  22.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 46% | Edge:  29.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: YES @ 42% | Edge:  33.00% | Result: YES ✅ WIN

KXETH15M-26JAN052215-15: NO @ 35% | Edge:  35.00% | Result: YES ❌ LOSS

KXBTC15M-26JAN052230-30: YES @ 1% | Edge:  74.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 25% | Edge:  50.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 44% | Edge:  31.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 41% | Edge:  34.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 49% | Edge:  26.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 50% | Edge:  25.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 47% | Edge:  28.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 47% | Edge:  28.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 49% | Edge:  26.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 48% | Edge:  27.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 48% | Edge:  27.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 49% | Edge:  26.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 52% | Edge:  23.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 58% | Edge:  17.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 52% | Edge:  23.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 46% | Edge:  29.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 66% | Edge:   9.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 70% | Edge:   5.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 58% | Edge:  17.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 62% | Edge:  13.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 60% | Edge:  15.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 49% | Edge:  26.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052230-30: YES @ 40% | Edge:  35.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: NO @ 48% | Edge:  22.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052230-30: YES @ 43% | Edge:  32.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 25% | Edge:  50.00% | Result: YES ✅ WIN

KXETH15M-26JAN052230-30: YES @ 25% | Edge:  50.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052245-45: YES @ 1% | Edge:  74.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052245-45: YES @ 36% | Edge:  39.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 33% | Edge:  42.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 55% | Edge:  20.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXETH15M-26JAN052245-45: YES @ 2% | Edge:  73.00% | Result: YES ✅ WIN

KXBTC15M-26JAN052245-45: YES @ 57% | Edge:  18.00% | Result: NO ❌ LOSS

KXBTC15M-26JAN052245-45: YES @ 55% | Edge:  20.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052300-00: YES @ 50% | Edge:  25.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052300-00: YES @ 50% | Edge:  25.00% | Result: NO ❌ LOSS

KXETH15M-26JAN052300-00: YES @ 42% | Edge:  33.00% | Result: NO ❌ LOSS

KXBTC15M-26JAN052300-00: NO @ 34% | Edge:  36.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 28% | Edge:  42.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 31% | Edge:  39.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 30% | Edge:  40.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 34% | Edge:  36.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 37% | Edge:  33.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 42% | Edge:  28.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 41% | Edge:  29.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 45% | Edge:  25.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 51% | Edge:  19.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 53% | Edge:  17.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 59% | Edge:  11.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 52% | Edge:  18.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 61% | Edge:   9.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 54% | Edge:  16.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 46% | Edge:  24.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 48% | Edge:  22.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 45% | Edge:  25.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 39% | Edge:  31.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 44% | Edge:  26.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 58% | Edge:  12.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 55% | Edge:  15.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 53% | Edge:  17.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 52% | Edge:  18.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 43% | Edge:  27.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 42% | Edge:  28.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 13% | Edge:  57.00% | Result: NO ✅ WIN

KXBTC15M-26JAN052300-00: NO @ 39% | Edge:  31.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052300-00: NO @ 2% | Edge:  68.00% | Result: NO ✅ WIN

KXETH15M-26JAN052315-15: NO @ 31% | Edge:  39.00% | Result: YES ❌ LOSS

KXETH15M-26JAN052315-15: NO @ 31% | Edge:  39.00% | Result: YES ❌ LOSS

